rfid;runid;Library_ID;Sample_Project;sex;coatcolor;QC_reads;QC_sex;QC_missing;QC_heterozygosity;QC_coat_color_albino;num_reject
933000320046319;200915_A00953_0152_AHJGF7DSXY;Riptide13;u01_tom_jhou;F;BROWN;reject;pass;pass;pass;pass;1
933000320046329;201002_A00953_0161_AHLGVKDSXY;Riptide15;u01_suzanne_mitchell;M;ALBINO;reject;pass;pass;pass;pass;1
933000320046340;201002_A00953_0161_AHLGVKDSXY;Riptide15;u01_suzanne_mitchell;F;BLACKHOOD;reject;pass;pass;pass;pass;1
933000320046344;200915_A00953_0152_AHJGF7DSXY;Riptide12;u01_suzanne_mitchell;F;BLACK;reject;pass;reject;pass;pass;2
933000320046360;201002_A00953_0161_AHLGVKDSXY;Riptide15;u01_suzanne_mitchell;F;BLACKHOOD;reject;pass;reject;pass;pass;2
933000320046361;201002_A00953_0161_AHLGVKDSXY;Riptide15;u01_suzanne_mitchell;M;BLACKHOOD;reject;pass;reject;pass;pass;2
933000320046362;201002_A00953_0161_AHLGVKDSXY;Riptide15;u01_suzanne_mitchell;M;BROWN;reject;pass;reject;pass;pass;2
933000320046365;200915_A00953_0152_AHJGF7DSXY;Riptide13;u01_tom_jhou;F;BLACK;pass;reject;pass;pass;pass;1
933000320046367;200915_A00953_0152_AHJGF7DSXY;Riptide12;u01_suzanne_mitchell;F;ALBINO;reject;pass;reject;pass;pass;2
933000320046368;200915_A00953_0152_AHJGF7DSXY;Riptide12;u01_suzanne_mitchell;M;BROWNHOOD;reject;pass;reject;suspect;pass;3
933000320046375;200915_A00953_0152_AHJGF7DSXY;Riptide12;u01_suzanne_mitchell;F;BROWNHOOD;pass;reject;pass;pass;pass;1
933000320046389;200326_A00953_0086_BHC2FMDSXY;Riptide04;u01_olivier_george_oxycodone;F;ALBINO;reject;pass;pass;pass;pass;1
933000320046404;201002_A00953_0161_AHLGVKDSXY;Riptide19;u01_tom_jhou;F;BROWNHOOD;reject;pass;pass;pass;pass;1
933000320046411;201002_A00953_0161_AHLGVKDSXY;Riptide16;u01_tom_jhou;M;BLACKHOOD;pass;reject;pass;pass;reject;2
933000320046414;201002_A00953_0161_AHLGVKDSXY;Riptide16;u01_tom_jhou;F;BROWN;pass;reject;pass;pass;pass;1
933000320046415;200326_A00953_0086_BHC2FMDSXY;Riptide06;u01_tom_jhou;M;BLACK;reject;pass;pass;pass;pass;1
933000320046458;201218_A00953_0203_BHN5HYDSXY;Riptide39;u01_peter_kalivas_italy;F;BLACK;reject;pass;reject;pass;pass;2
933000320046466;201002_A00953_0161_AHLGVKDSXY;Riptide19;u01_tom_jhou;M;BROWNHOOD;reject;pass;reject;pass;pass;2
933000320046473;201002_A00953_0161_AHLGVKDSXY;Riptide16;u01_tom_jhou;F;BROWNHOOD;pass;reject;pass;pass;pass;1
933000320046491;200915_A00953_0152_AHJGF7DSXY;Riptide12;u01_suzanne_mitchell;F;BROWN;pass;reject;pass;pass;pass;1
933000320046510;200915_A00953_0152_AHJGF7DSXY;Riptide13;u01_tom_jhou;F;ALBINO;reject;pass;reject;pass;reject;3
933000320046515;200915_A00953_0152_AHJGF7DSXY;Riptide13;u01_tom_jhou;M;BLACKHOOD;reject;pass;pass;pass;pass;1
933000320046554;200326_A00953_0086_BHC2FMDSXY;Riptide06;u01_tom_jhou;M;ALBINO;reject;pass;reject;pass;pass;2
933000320046573;201002_A00953_0161_AHLGVKDSXY;Riptide15;u01_suzanne_mitchell;F;BLACK;reject;pass;pass;pass;pass;1
933000320046604;200326_A00953_0086_BHC2FMDSXY;Riptide04;u01_olivier_george_oxycodone;F;ALBINO;pass;pass;pass;pass;reject;1
933000320046629;201002_A00953_0161_AHLGVKDSXY;Riptide19;u01_tom_jhou;M;ALBINO;reject;pass;pass;pass;pass;1
933000320046637;200326_A00953_0086_BHC2FMDSXY;Riptide06;u01_tom_jhou;F;BLACKHOOD;reject;pass;pass;pass;pass;1
933000320046660;201002_A00953_0161_AHLGVKDSXY;Riptide14;u01_peter_kalivas_us;F;BROWN;reject;pass;pass;pass;pass;1
933000320046697;201002_A00953_0161_AHLGVKDSXY;Riptide19;u01_tom_jhou;M;BLACKHOOD;reject;pass;pass;pass;pass;1
933000320046705;201002_A00953_0161_AHLGVKDSXY;Riptide14;u01_peter_kalivas_us;F;BLACKHOOD;pass;reject;pass;pass;pass;1
933000320046753;201002_A00953_0161_AHLGVKDSXY;Riptide15;u01_suzanne_mitchell;F;BROWNHOOD;reject;pass;pass;pass;pass;1
933000320046759;200915_A00953_0152_AHJGF7DSXY;Riptide12;u01_suzanne_mitchell;F;BROWNHOOD;reject;pass;pass;pass;pass;1
933000320046762;200915_A00953_0152_AHJGF7DSXY;Riptide12;u01_suzanne_mitchell;M;BROWNHOOD;reject;pass;reject;reject;pass;3
933000320046769;200915_A00953_0152_AHJGF7DSXY;Riptide12;u01_suzanne_mitchell;M;BROWNHOOD;reject;pass;pass;pass;pass;1
933000320046819;200326_A00953_0086_BHC2FMDSXY;Riptide08;u01_olivier_george_oxycodone;M;BROWN;reject;pass;pass;pass;pass;1
933000320046833;200326_A00953_0086_BHC2FMDSXY;Riptide05;u01_olivier_george_cocaine;M;BLACKHOOD;pass;pass;pass;suspect;pass;1
933000320046841;200326_A00953_0086_BHC2FMDSXY;Riptide05;u01_olivier_george_cocaine;M;BLACKHOOD;reject;pass;reject;pass;pass;2
933000320046855;200915_A00953_0152_AHJGF7DSXY;Riptide13;u01_tom_jhou;F;BLACKHOOD;reject;pass;pass;pass;pass;1
933000320046861;200915_A00953_0152_AHJGF7DSXY;Riptide13;u01_tom_jhou;F;BROWNHOOD;reject;pass;reject;pass;pass;2
933000320046862;200915_A00953_0152_AHJGF7DSXY;Riptide13;u01_tom_jhou;M;BLACK;reject;pass;pass;pass;pass;1
933000320046865;201002_A00953_0161_AHLGVKDSXY;Riptide16;u01_tom_jhou;M;BLACKHOOD;reject;pass;reject;pass;pass;2
933000320046867;201002_A00953_0161_AHLGVKDSXY;Riptide16;u01_tom_jhou;F;BLACKHOOD;reject;pass;reject;pass;pass;2
933000320046868;200915_A00953_0152_AHJGF7DSXY;Riptide13;u01_tom_jhou;M;BROWN;reject;pass;pass;pass;pass;1
933000320046875;201002_A00953_0161_AHLGVKDSXY;Riptide16;u01_tom_jhou;F;BLACKHOOD;pass;pass;reject;pass;pass;1
933000320046899;200915_A00953_0152_AHJGF7DSXY;Riptide12;u01_suzanne_mitchell;F;BLACK;reject;pass;reject;pass;pass;2
933000320046913;200326_A00953_0086_BHC2FMDSXY;Riptide04;u01_olivier_george_oxycodone;F;ALBINO;pass;pass;pass;reject;reject;2
933000320046940;201218_A00953_0203_BHN5HYDSXY;Riptide39;u01_peter_kalivas_italy;M;ALBINO;pass;pass;pass;pass;reject;1
933000320046945;201002_A00953_0161_AHLGVKDSXY;Riptide14;u01_peter_kalivas_us;F;ALBINO;reject;pass;pass;pass;pass;1
933000320046950;201002_A00953_0161_AHLGVKDSXY;Riptide14;u01_peter_kalivas_us;F;BROWNHOOD;reject;pass;pass;pass;pass;1
933000320046962;201002_A00953_0161_AHLGVKDSXY;Riptide14;u01_peter_kalivas_us;M;BROWNHOOD;reject;pass;pass;pass;pass;1
933000320047011;200326_A00953_0086_BHC2FMDSXY;Riptide05;u01_olivier_george_cocaine;F;ALBINO;reject;pass;reject;pass;reject;3
933000320047026;201002_A00953_0161_AHLGVKDSXY;Riptide14;u01_peter_kalivas_us;M;BLACKHOOD;reject;pass;reject;pass;pass;2
933000320047070;201002_A00953_0161_AHLGVKDSXY;Riptide14;u01_peter_kalivas_us;M;ALBINO;reject;pass;reject;pass;pass;2
933000320047072;201002_A00953_0161_AHLGVKDSXY;Riptide14;u01_peter_kalivas_us;M;BLACK;reject;pass;pass;pass;pass;1
933000320047075;201002_A00953_0161_AHLGVKDSXY;Riptide14;u01_peter_kalivas_us;F;ALBINO;reject;pass;pass;pass;reject;2
933000320047132;200326_A00953_0086_BHC2FMDSXY;Riptide04;u01_olivier_george_cocaine;M;ALBINO;reject;pass;reject;pass;pass;2
933000320047136;200326_A00953_0086_BHC2FMDSXY;Riptide04;u01_olivier_george_cocaine;M;BLACK;reject;pass;reject;pass;pass;2
933000320047152;200326_A00953_0086_BHC2FMDSXY;Riptide05;u01_olivier_george_cocaine;M;ALBINO;reject;pass;reject;pass;pass;2
933000320047185;201002_A00953_0161_AHLGVKDSXY;Riptide14;u01_peter_kalivas_us;M;BROWNHOOD;reject;pass;pass;pass;pass;1
933000320047192;201002_A00953_0161_AHLGVKDSXY;Riptide14;u01_peter_kalivas_us;M;BLACKHOOD;reject;pass;pass;pass;pass;1
933000320047202;201002_A00953_0161_AHLGVKDSXY;Riptide14;u01_peter_kalivas_us;M;BLACK;pass;pass;pass;suspect;pass;1
933000320047278;200326_A00953_0086_BHC2FMDSXY;Riptide04;u01_olivier_george_oxycodone;F;ALBINO;pass;pass;pass;pass;reject;1
933000320047295;200326_A00953_0086_BHC2FMDSXY;Riptide04;u01_olivier_george_cocaine;F;ALBINO;pass;pass;pass;suspect;pass;1
933000320047360;201002_A00953_0161_AHLGVKDSXY;Riptide19;u01_tom_jhou;M;BROWNHOOD;reject;pass;reject;pass;pass;2
933000320047362;201002_A00953_0161_AHLGVKDSXY;Riptide19;u01_tom_jhou;M;BROWN;reject;pass;reject;pass;pass;2
933000320047370;201002_A00953_0161_AHLGVKDSXY;Riptide20;u01_suzanne_mitchell;M;BROWN;pass;reject;pass;pass;pass;1
933000320047377;200915_A00953_0152_AHJGF7DSXY;Riptide13;u01_tom_jhou;M;ALBINO;reject;pass;reject;pass;pass;2
933000320047378;200915_A00953_0152_AHJGF7DSXY;Riptide13;u01_tom_jhou;M;BLACK;reject;pass;reject;pass;pass;2
933000320047407;201002_A00953_0161_AHLGVKDSXY;Riptide19;u01_tom_jhou;F;BROWN;reject;pass;pass;pass;pass;1
933000320047413;201218_A00953_0203_BHN5HYDSXY;Riptide31;u01_tom_jhou;F;BLACKHOOD;reject;pass;pass;pass;pass;1
933000320047418;201002_A00953_0161_AHLGVKDSXY;Riptide19;u01_tom_jhou;F;ALBINO;reject;pass;pass;pass;pass;1
933000320047420;201218_A00953_0203_BHN5HYDSXY;Riptide31;u01_tom_jhou;F;BLACKHOOD;reject;pass;reject;pass;pass;2
933000320047421;201002_A00953_0161_AHLGVKDSXY;Riptide19;u01_tom_jhou;M;BLACK;reject;pass;pass;pass;pass;1
933000320047427;200915_A00953_0152_AHJGF7DSXY;Riptide13;u01_tom_jhou;M;BLACK;reject;pass;pass;pass;pass;1
933000320047429;200915_A00953_0152_AHJGF7DSXY;Riptide13;u01_tom_jhou;F;BLACKHOOD;reject;pass;reject;pass;pass;2
933000320047430;200915_A00953_0152_AHJGF7DSXY;Riptide13;u01_tom_jhou;F;BROWNHOOD;reject;pass;pass;pass;pass;1
933000320047437;200915_A00953_0152_AHJGF7DSXY;Riptide13;u01_tom_jhou;F;BLACK;reject;pass;pass;pass;pass;1
933000320047438;200915_A00953_0152_AHJGF7DSXY;Riptide13;u01_tom_jhou;M;BLACKHOOD;reject;pass;pass;pass;pass;1
933000320047442;200915_A00953_0152_AHJGF7DSXY;Riptide13;u01_tom_jhou;M;BLACKHOOD;reject;pass;reject;pass;pass;2
933000320047446;201002_A00953_0161_AHLGVKDSXY;Riptide16;u01_tom_jhou;F;BROWNHOOD;reject;pass;reject;pass;pass;2
933000320047448;200915_A00953_0152_AHJGF7DSXY;Riptide13;u01_tom_jhou;F;BROWNHOOD;reject;pass;pass;pass;pass;1
933000320047475;200221_A00953_0069_BH5T5LDSXY;Riptide03;u01_olivier_george_cocaine;F;BROWNHOOD;pass;pass;pass;suspect;pass;1
933000320047480;200326_A00953_0086_BHC2FMDSXY;Riptide04;u01_olivier_george_oxycodone;M;ALBINO;reject;pass;pass;pass;pass;1
933000320047489;200326_A00953_0086_BHC2FMDSXY;Riptide05;u01_olivier_george_oxycodone;M;BLACKHOOD;pass;pass;pass;reject;pass;1
933000320047537;201002_A00953_0161_AHLGVKDSXY;Riptide20;u01_suzanne_mitchell;F;BROWNHOOD;pass;reject;pass;pass;pass;1
933000320047581;200326_A00953_0086_BHC2FMDSXY;Riptide05;u01_olivier_george_cocaine;M;BLACK;reject;pass;pass;pass;pass;1
933000320047593;200326_A00953_0086_BHC2FMDSXY;Riptide05;u01_olivier_george_cocaine;M;BROWNHOOD;reject;pass;reject;pass;pass;2
933000320047639;200915_A00953_0152_AHJGF7DSXY;Riptide11;u01_suzanne_mitchell;M;BLACKHOOD;pass;pass;reject;suspect;pass;2
933000320047646;200915_A00953_0152_AHJGF7DSXY;Riptide12;u01_suzanne_mitchell;M;BROWN;reject;pass;reject;pass;pass;2
933000320047683;201002_A00953_0161_AHLGVKDSXY;Riptide19;u01_tom_jhou;F;BLACKHOOD;reject;pass;reject;suspect;pass;3
933000320047706;201002_A00953_0161_AHLGVKDSXY;Riptide20;u01_suzanne_mitchell;M;ALBINO;reject;pass;pass;pass;pass;1
933000320047750;201218_A00953_0203_BHN5HYDSXY;Riptide39;u01_peter_kalivas_italy;F;BROWN;reject;pass;pass;pass;pass;1
933000320047753;200915_A00953_0152_AHJGF7DSXY;Riptide11;u01_suzanne_mitchell;F;BLACK;reject;pass;reject;suspect;pass;3
933000320047758;200915_A00953_0152_AHJGF7DSXY;Riptide11;u01_suzanne_mitchell;F;BROWN;pass;pass;reject;pass;pass;1
933000320047761;201002_A00953_0161_AHLGVKDSXY;Riptide19;u01_tom_jhou;M;BROWN;reject;pass;reject;pass;pass;2
933000320047765;200915_A00953_0152_AHJGF7DSXY;Riptide13;u01_tom_jhou;M;BLACK;reject;pass;reject;pass;pass;2
933000320047772;200915_A00953_0152_AHJGF7DSXY;Riptide13;u01_tom_jhou;F;BLACKHOOD;pass;pass;pass;suspect;pass;1
933000320047778;200915_A00953_0152_AHJGF7DSXY;Riptide13;u01_tom_jhou;F;ALBINO;reject;pass;reject;pass;pass;2
933000320047792;200915_A00953_0152_AHJGF7DSXY;Riptide13;u01_tom_jhou;F;BROWNHOOD;reject;pass;reject;pass;pass;2
933000320047795;200915_A00953_0152_AHJGF7DSXY;Riptide12;u01_suzanne_mitchell;F;BLACKHOOD;pass;reject;pass;pass;pass;1
933000320047797;200915_A00953_0152_AHJGF7DSXY;Riptide12;u01_suzanne_mitchell;F;ALBINO;reject;pass;reject;pass;pass;2
933000320047807;201218_A00953_0203_BHN5HYDSXY;Riptide39;u01_peter_kalivas_italy;M;BLACK;reject;pass;pass;pass;pass;1
933000320047816;201218_A00953_0203_BHN5HYDSXY;Riptide39;u01_peter_kalivas_italy;M;BROWNHOOD;reject;pass;pass;pass;pass;1
933000320047833;201002_A00953_0161_AHLGVKDSXY;Riptide20;u01_suzanne_mitchell;M;BROWN;reject;pass;pass;pass;pass;1
933000320047891;201218_A00953_0203_BHN5HYDSXY;Riptide31;u01_olivier_george_oxycodone;F;BLACKHOOD;reject;pass;pass;pass;pass;1
933000320047943;201218_A00953_0203_BHN5HYDSXY;Riptide31;u01_olivier_george_oxycodone;M;BROWNHOOD;reject;pass;pass;pass;pass;1
933000320047952;201002_A00953_0161_AHLGVKDSXY;Riptide14;u01_peter_kalivas_us;F;BROWN;reject;pass;pass;pass;pass;1
933000320047998;201218_A00953_0203_BHN5HYDSXY;Riptide39;u01_peter_kalivas_italy;F;BROWN;pass;reject;pass;pass;pass;1
933000320186835;201218_A00953_0203_BHN5HYDSXY;Riptide31;u01_olivier_george_oxycodone;M;ALBINO;reject;pass;pass;pass;pass;1
933000320186957;201218_A00953_0203_BHN5HYDSXY;Riptide32;u01_olivier_george_cocaine;F;BLACK;pass;pass;pass;suspect;pass;1
933000320186998;201218_A00953_0203_BHN5HYDSXY;Riptide31;u01_olivier_george_oxycodone;M;BLACKHOOD;reject;pass;pass;pass;pass;1
933000320187206;201218_A00953_0203_BHN5HYDSXY;Riptide39;u01_olivier_george_oxycodone;M;BROWN;reject;pass;pass;pass;pass;1
933000320187221;201218_A00953_0203_BHN5HYDSXY;Riptide39;u01_olivier_george_oxycodone;M;BLACKHOOD;reject;pass;pass;pass;pass;1
933000320187243;201218_A00953_0203_BHN5HYDSXY;Riptide31;u01_olivier_george_oxycodone;M;BROWN;reject;pass;pass;pass;pass;1
933000320187340;201218_A00953_0203_BHN5HYDSXY;Riptide40;u01_peter_kalivas_italy;M;BROWN;pass;reject;pass;pass;pass;1
